rxnIDs_ref	modelIDs	refVals	condVals	log2FC	subSystems	grRules
diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:1), lipid particle (No1)	r_2409No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:1), lipid particle (No1)	r_2410No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:1), lipid particle (No1)	r_2411No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:1), lipid particle (No1)	r_2412No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:1), lipid particle (No1)	r_2413No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:1), lipid particle (No1)	r_2414No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:1), lipid particle (No1)	r_2415No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:0), lipid particle (No1)	r_2416No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:0), lipid particle (No1)	r_2417No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), lipid particle (No1)	r_2418No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:0), lipid particle (No1)	r_2419No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), lipid particle (No1)	r_2420No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:0), lipid particle (No1)	r_2421No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:0), lipid particle (No1)	r_2422No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:0), lipid particle (No1)	r_2423No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:1), lipid particle (No1)	r_2424No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:1), lipid particle (No1)	r_2425No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:1), lipid particle (No1)	r_2426No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:1), lipid particle (No1)	r_2427No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:1), lipid particle (No1)	r_2428No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:1), lipid particle (No1)	r_2429No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:1), lipid particle (No1)	r_2430No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:1), lipid particle (No1)	r_2431No1	0	0	0	sce00561  Glycerolipid metabolism	YOR245C
CDP-diacylglycerol synthase (1-16:0, 2-16:1), ER membrane (No1)	r_2432No1	0.000638543665368893	0.00154242849451452	1.27234642512379	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:1, 2-16:1), ER membrane (No1)	r_2433No1	0.00222000323639961	0.0022146031826999	-0.00351356301214176	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-18:0, 2-16:1), ER membrane (No1)	r_2434No1	0.000330728912939325	0.000726729340176617	1.13576897915428	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-18:1, 2-16:1), ER membrane (No1)	r_2435No1	4.21395037159884e-05	0	-25.328669987605	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:0, 2-18:1), ER membrane (No1)	r_2436No1	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:1, 2-18:1), ER membrane (No1)	r_2437No1	0	0.000161989229990312	27.2713226564305	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-18:0, 2-18:1), ER membrane (No1)	r_2438No1	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-18:1, 2-18:1), ER membrane (No1)	r_2439No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:0, 2-16:1), mitochondrial membrane (No1)	r_2440No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:1, 2-16:1), mitochondrial membrane (No1)	r_2441No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-18:0, 2-16:1), mitochondrial membrane (No1)	r_2442No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-18:1, 2-16:1), mitochondrial membrane (No1)	r_2443No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:0, 2-18:1), mitochondrial membrane (No1)	r_2444No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
CDP-diacylglycerol synthase (1-16:1, 2-18:1), mitochondrial membrane (No1)	r_2445No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	YBR029C
PS synthase (1-16:0, 2-16:1), ER membrane (No1)	r_2446No1	0.000638543665368893	0.00154242849451452	1.27234642512379	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-16:1, 2-16:1), ER membrane (No1)	r_2447No1	0.0013048967790799	0.00126344813945269	-0.0465692427346872	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-18:0, 2-16:1), ER membrane (No1)	r_2448No1	0.000330728912939325	0.000726729340176617	1.13576897915428	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-18:1, 2-16:1), ER membrane (No1)	r_2449No1	4.21395037159884e-05	0	-25.328669987605	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-16:0, 2-18:1), ER membrane (No1)	r_2450No1	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-16:1, 2-18:1), ER membrane (No1)	r_2451No1	0	0.000161989229990312	27.2713226564305	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-18:0, 2-18:1), ER membrane (No1)	r_2452No1	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PS synthase (1-18:1, 2-18:1), ER membrane (No1)	r_2453No1	0	0	0	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YER026C
PI synthase (1-16:0, 2-16:1), ER membrane (No1)	r_2454No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-16:1, 2-16:1), ER membrane (No1)	r_2455No1	0.000915106457319702	0.000951155043247216	0.0557409405119228	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-18:0, 2-16:1), ER membrane (No1)	r_2456No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-18:1, 2-16:1), ER membrane (No1)	r_2457No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-16:0, 2-18:1), ER membrane (No1)	r_2458No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-16:1, 2-18:1), ER membrane (No1)	r_2459No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-18:0, 2-18:1), ER membrane (No1)	r_2460No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
PI synthase (1-18:1, 2-18:1), ER membrane (No1)	r_2461No1	0	0	0	sce00562  Inositol phosphate metabolism // sce00564  Glycerophospholipid metabolism // sce04070  Phosphatidylinositol signaling system	YPR113W
lysoPI acyltransferase (1-18:0, 2-16:1), ER membrane (No1)	r_2462No1	0	0	0		YBR042C
lysoPI acyltransferase (1-18:0, 2-18:1), ER membrane (No1)	r_2463No1	0	0	0		YBR042C
PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	r_2464No1	0.000638543665368893	0.00154242849451452	1.27234642512379	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-16:1, 2-16:1), mitochondrial membrane (No1)	r_2465No1	0.000436036714157254	0.000360361262492138	-0.275005679509881	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-18:0, 2-16:1), mitochondrial membrane (No1)	r_2466No1	0.000330728912939325	0.000726729340176617	1.13576897915428	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-18:1, 2-16:1), mitochondrial membrane (No1)	r_2467No1	4.21395037159884e-05	0	-25.328669987605	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-16:0, 2-18:1), mitochondrial membrane (No1)	r_2468No1	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-16:1, 2-18:1), mitochondrial membrane (No1)	r_2469No1	0	0.000161989229990312	27.2713226564305	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-18:0, 2-18:1), mitochondrial membrane (No1)	r_2470No1	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-18:1, 2-18:1), mitochondrial membrane (No1)	r_2471No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YNL169C
PS decarboxylase (1-16:0, 2-16:1), Golgi membrane (No1)	r_2472No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:1, 2-16:1), Golgi membrane (No1)	r_2473No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:0, 2-16:1), Golgi membrane (No1)	r_2474No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:1, 2-16:1), Golgi membrane (No1)	r_2475No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:0, 2-18:1), Golgi membrane (No1)	r_2476No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:1, 2-18:1), Golgi membrane (No1)	r_2477No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:0, 2-18:1), Golgi membrane (No1)	r_2478No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:1, 2-18:1), Golgi membrane (No1)	r_2479No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:0, 2-16:1), vacuolar membrane (No1)	r_2480No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:1, 2-16:1), vacuolar membrane (No1)	r_2481No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:0, 2-16:1), vacuolar membrane (No1)	r_2482No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:1, 2-16:1), vacuolar membrane (No1)	r_2483No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:0, 2-18:1), vacuolar membrane (No1)	r_2484No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-16:1, 2-18:1), vacuolar membrane (No1)	r_2485No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:0, 2-18:1), vacuolar membrane (No1)	r_2486No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PS decarboxylase (1-18:1, 2-18:1), vacuolar membrane (No1)	r_2487No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR170W
PE methyltransferase (1-16:0, 2-16:1), ER membrane (arm)	arm_r_2488	0	0.00154242849451452	30.5225564629717	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-16:0, 2-16:1), ER membrane (No1)	r_2488No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-16:0, 2-16:1), ER membrane (No2)	r_2488No2	0	0.00154242849451452	30.5225564629717	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-16:1, 2-16:1), ER membrane (arm)	arm_r_2489	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-16:1, 2-16:1), ER membrane (No1)	r_2489No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-16:1, 2-16:1), ER membrane (No2)	r_2489No2	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-18:0, 2-16:1), ER membrane (arm)	arm_r_2490	0.000330728912939325	0	-28.3010739332364	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-18:0, 2-16:1), ER membrane (No1)	r_2490No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-18:0, 2-16:1), ER membrane (No2)	r_2490No2	0.000330728912939325	0	-28.3010739332364	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-18:1, 2-16:1), ER membrane (arm)	arm_r_2491	4.21395037159884e-05	0	-25.328669987605	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-18:1, 2-16:1), ER membrane (No1)	r_2491No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-18:1, 2-16:1), ER membrane (No2)	r_2491No2	4.21395037159884e-05	0	-25.328669987605	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-16:0, 2-18:1), ER membrane (arm)	arm_r_2492	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-16:0, 2-18:1), ER membrane (No1)	r_2492No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-16:0, 2-18:1), ER membrane (No2)	r_2492No2	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-16:1, 2-18:1), ER membrane (arm)	arm_r_2493	0	0.000161989229990312	27.2713226564305	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-16:1, 2-18:1), ER membrane (No1)	r_2493No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-16:1, 2-18:1), ER membrane (No2)	r_2493No2	0	0.000161989229990312	27.2713226564305	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-18:0, 2-18:1), ER membrane (arm)	arm_r_2494	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-18:0, 2-18:1), ER membrane (No1)	r_2494No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-18:0, 2-18:1), ER membrane (No2)	r_2494No2	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
PE methyltransferase (1-18:1, 2-18:1), ER membrane (arm)	arm_r_2495	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W or YJR073C
PE methyltransferase (1-18:1, 2-18:1), ER membrane (No1)	r_2495No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YGR157W
PE methyltransferase (1-18:1, 2-18:1), ER membrane (No2)	r_2495No2	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-16:0, 2-16:1), ER membrane (No1)	r_2496No1	0	0.00154242849451452	30.5225564629717	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-16:1, 2-16:1), ER membrane (No1)	r_2497No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-18:0, 2-16:1), ER membrane (No1)	r_2498No1	0.000330728912939325	0	-28.3010739332364	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-18:1, 2-16:1), ER membrane (No1)	r_2499No1	4.21395037159884e-05	0	-25.328669987605	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-16:0, 2-18:1), ER membrane (No1)	r_2500No1	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane (No1)	r_2501No1	0	0.000161989229990312	27.2713226564305	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-18:0, 2-18:1), ER membrane (No1)	r_2502No1	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N-methylethanolamine methyltransferase (1-18:1, 2-18:1), ER membrane (No1)	r_2503No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:0, 2-16:1), ER membrane (No1)	r_2504No1	0	0.00154242849451452	30.5225564629717	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:1, 2-16:1), ER membrane (No1)	r_2505No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:0, 2-16:1), ER membrane (No1)	r_2506No1	0.000330728912939325	0	-28.3010739332364	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:1, 2-16:1), ER membrane (No1)	r_2507No1	4.21395037159884e-05	0	-25.328669987605	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:0, 2-18:1), ER membrane (No1)	r_2508No1	0.00273132298094643	0.00196018656199098	-0.478608953653247	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane (No1)	r_2509No1	0	0.000161989229990312	27.2713226564305	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:0, 2-18:1), ER membrane (No1)	r_2510No1	0.000520643596305824	0.000158181097700069	-1.71871891029768	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:1, 2-18:1), ER membrane (No1)	r_2511No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YJR073C
DAG kinase (1-16:0, 2-16:1), ER membrane (No1)	r_2512No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-16:1, 2-16:1), ER membrane (No1)	r_2513No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-18:0, 2-16:1), ER membrane (No1)	r_2514No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-18:1, 2-16:1), ER membrane (No1)	r_2515No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-16:0, 2-18:1), ER membrane (No1)	r_2516No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-16:1, 2-18:1), ER membrane (No1)	r_2517No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-18:0, 2-18:1), ER membrane (No1)	r_2518No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
DAG kinase (1-18:1, 2-18:1), ER membrane (No1)	r_2519No1	0	0	0	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YOR311C
ethanolaminephosphotransferase (1-16:0, 2-16:1), ER membrane (No1)	r_2520No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
ethanolaminephosphotransferase (1-16:1, 2-16:1), ER membrane (No1)	r_2521No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
ethanolaminephosphotransferase (1-18:0, 2-16:1), ER membrane (No1)	r_2522No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
ethanolaminephosphotransferase (1-18:1, 2-16:1), ER membrane (No1)	r_2523No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
ethanolaminephosphotransferase (1-16:0, 2-18:1), ER membrane (No1)	r_2524No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
ethanolaminephosphotransferase (1-16:1, 2-18:1), ER membrane (No1)	r_2525No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
ethanolaminephosphotransferase (1-18:0, 2-18:1), ER membrane (No1)	r_2526No1	0	0	0	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	YHR123W
